,0
Institut für Bildungsevaluation Assoziiertes Inst. der Universität Zürich,ZH
Liceo Cantonale,
Université de Genève ,GE
Amt für Raumentwicklung Baudirektion Kanton Zürich,ZH
Bundesamt für Landestopografie,
Stiftung für eine Kritische Robert Walser- Ausgabe Frau Dr. Barbara von Reibnitz,
Pädagogische Hochschule Schaffhausen ,SH
Unite d'oncologie experimentale CHUV - Université de Lausanne,VD
Historischer Verein des Kantons Schwyz Amt für Kulturpflege,
Fondation Guy de Pourtalès Université de Lausanne,VD
Schweizerisches Sozialarchiv Abt. Periodika,
Kunstmuseum,BS
Idiap Research Institute ,
Naturhistorisches Museum Basel,
Commission administrative du GPSR,
Obergericht Zürich,ZH
Bundesamt für Landwirtschaft,
Département de Biologie Moléculaire Faculté des Sciences Université de Genève,GE
Ecole supérieure de Commerce,VD
Musée International d'Horlogerie,
